ticker,bucket,rank,score,target_weight_raw,target_weight_final,reason,annual_fee_rate,deployment_ml_proba,core_deployment_multiplier_ml,opp_deployment_multiplier_ml,date
PAEEM.PA,monetary,1,0.17977208675224257,0.03615032766839357,0.08314575363730523,PERMANENT_ETF,0.003,0.5,1.0,1.0,2021-01-29
ESE.PA,monetary,2,0.10514378139833315,0.047751030590147486,0.10982737035733924,PERMANENT_ETF,0.0014,0.5,1.0,1.0,2021-01-29
ETDD.PA,monetary,3,0.08703862771376339,0.0465334243501546,0.10702687600535557,PERMANENT_ETF,0.001,0.5,1.0,1.0,2021-01-29
PAASI.PA,opportunistic,1,0.7035989304049742,0.1459900928528442,0.06715544271230836,NEW_OPP_ENTRY,0.003,0.5,1.0,1.0,2021-01-29
PANX.PA,opportunistic,2,0.6355247281274481,0.14656584383248977,0.06742028816294532,KEEP_OPP,0.003,0.5,1.0,1.0,2021-01-29
PUST.PA,opportunistic,3,0.5939884177129815,0.14222667201031813,0.06542426912474636,NEW_OPP_ENTRY,0.003,0.5,1.0,1.0,2021-01-29
PUB.PA,core,1,1.880951633888158,0.09915701444735088,0.10000000000000307,NEW_ENTRY,,0.5,1.0,1.0,2021-02-26
RNO.PA,core,2,1.7183606451560365,0.08461255243609789,0.1,NEW_ENTRY,,0.5,1.0,1.0,2021-02-26
ERF.PA,core,3,1.5516050696812358,0.06702404892909618,0.08010426284452567,NEW_ENTRY,,0.5,1.0,1.0,2021-02-26
NEX.PA,core,4,1.4049151136666482,0.058736629063799235,0.07019949478291578,NEW_ENTRY,,0.5,1.0,1.0,2021-02-26
RCO.PA,core,5,1.3315613600990786,0.049402928770428,0.05904425731877532,NEW_ENTRY,,0.5,1.0,1.0,2021-02-26
MC.PA,core,6,1.1792107730297885,0.04314183936419618,0.051561272337959846,NEW_ENTRY,,0.5,1.0,1.0,2021-02-26
RXL.PA,core,8,0.9904488570923013,0.032707595684683795,0.039090712715820354,NEW_ENTRY,,0.5,1.0,1.0,2021-02-26
PAEEM.PA,monetary,1,0.21364088711602935,0.03668127648465679,0.08436693591471063,PERMANENT_ETF,0.003,0.5,1.0,1.0,2021-02-26
ESE.PA,monetary,2,0.1360305263520546,0.047732305755891234,0.10978430323854985,PERMANENT_ETF,0.0014,0.5,1.0,1.0,2021-02-26
ETDD.PA,monetary,3,0.10913573808090998,0.046021200368147636,0.10584876084673957,PERMANENT_ETF,0.001,0.5,1.0,1.0,2021-02-26
