date,benchmark_value,general_cash,core_cash,monetary_cash,opp_cash,core_positions_value,monetary_positions_value,opp_positions_value,core_total_value,monetary_total_value,opp_total_value,portfolio_value,daily_turnover,costs_paid_this_day,cumulative_costs_paid,num_core_positions,num_monetary_positions,num_opp_positions
2019-04-11,59608.804332936284,2113.7564547243146,0.0,0.0,0.0,31301.63255214691,11207.686725616455,11188.124928474426,31301.63255214691,11207.686725616455,11188.124928474426,55811.20066096211,0.0,0.0,170.7833730993271,9,2,2
2019-04-12,59893.0139577259,2113.7564547243146,0.0,0.0,0.0,31207.57671546936,11229.450817108152,11141.444815635681,31207.57671546936,11229.450817108152,11141.444815635681,55692.22880293751,0.0,0.0,170.7833730993271,9,2,2
2019-04-15,59936.699235589454,2113.7564547243146,0.0,0.0,0.0,31114.628952026367,11236.710330963135,11153.115225791931,31114.628952026367,11236.710330963135,11153.115225791931,55618.21096350575,0.0,0.0,170.7833730993271,9,2,2
2019-04-16,60195.48406010811,2113.7564547243146,0.0,0.0,0.0,31291.62957763672,11284.299812316895,11241.435007095337,31291.62957763672,11284.299812316895,11241.435007095337,55931.12085177327,0.0,0.0,170.7833730993271,9,2,2
2019-04-17,60418.09888493144,2113.7564547243146,0.0,0.0,0.0,31029.27335357666,11279.058177947998,11253.794949531555,31029.27335357666,11279.058177947998,11253.794949531555,55675.88293578053,0.0,0.0,170.7833730993271,9,2,2
2019-04-18,60243.62430734513,2113.7564547243146,0.0,0.0,0.0,31083.219045639038,11342.259323120117,11320.349979400635,31083.219045639038,11342.259323120117,11320.349979400635,55859.58480288411,0.0,0.0,170.7833730993271,9,2,2
2019-04-23,60695.339837516825,2113.7564547243146,0.0,0.0,0.0,31203.90951347351,11425.960178375244,11323.634797096252,31203.90951347351,11425.960178375244,11323.634797096252,56067.260943669324,0.0,0.0,170.7833730993271,9,2,2
2019-04-24,60924.37956699302,2113.7564547243146,0.0,0.0,0.0,31317.166131019592,11440.03620147705,11402.26477432251,31317.166131019592,11440.03620147705,11402.26477432251,56273.22356154347,0.0,0.0,170.7833730993271,9,2,2
2019-04-25,60630.54601576186,2113.7564547243146,0.0,0.0,0.0,31278.636567115784,11460.857540130615,11419.754877090454,31278.636567115784,11460.857540130615,11419.754877090454,56273.00543906117,0.0,0.0,170.7833730993271,9,2,2
2019-04-26,60608.44145057509,2113.7564547243146,0.0,0.0,0.0,31485.178713798523,11463.177673339844,11462.115102767944,31485.178713798523,11463.177673339844,11462.115102767944,56524.22794463063,0.0,0.0,170.7833730993271,9,2,2
2019-04-29,60708.15785506279,2113.7564547243146,0.0,0.0,0.0,31507.21076774597,11495.806537628174,11476.784932136536,31507.21076774597,11495.806537628174,11476.784932136536,56593.558692235,0.0,0.0,170.7833730993271,9,2,2
2019-04-30,60755.33821884319,7132.2647357740425,0.0,0.0,0.0,29463.03903579712,14085.620656013489,5427.884931564331,29463.03903579712,14085.620656013489,5427.884931564331,56108.80935914898,0.5251680221247915,81.08968419075012,251.8730572900772,8,2,1
2019-05-02,60305.16258520866,7132.2647357740425,0.0,0.0,0.0,29174.60998916626,14024.871430397036,5408.910155296325,29174.60998916626,14024.871430397036,5408.910155296325,55740.65631063366,0.0,0.0,251.8730572900772,8,2,1
2019-05-03,60428.481275224105,7132.2647357740425,0.0,0.0,0.0,29224.766025543213,14111.10397720337,5443.755097389221,29224.766025543213,14111.10397720337,5443.755097389221,55911.889835909846,0.0,0.0,251.8730572900772,8,2,1
2019-05-06,59683.16139756328,7132.2647357740425,0.0,0.0,0.0,28883.764183044434,13995.929861068726,5365.094876289367,28883.764183044434,13995.929861068726,5365.094876289367,55377.05365617657,0.0,0.0,251.8730572900772,8,2,1
2019-05-07,58918.66899649031,7132.2647357740425,0.0,0.0,0.0,28462.939826965332,13821.050214767458,5256.420021057129,28462.939826965332,13821.050214767458,5256.420021057129,54672.67479856396,0.0,0.0,251.8730572900772,8,2,1
2019-05-08,59299.81412754193,7132.2647357740425,0.0,0.0,0.0,28563.703186035156,13813.97137260437,5196.39009475708,28563.703186035156,13813.97137260437,5196.39009475708,54706.32938917065,0.0,0.0,251.8730572900772,8,2,1
2019-05-09,58070.939529988966,7132.2647357740425,0.0,0.0,0.0,28102.224578857422,13586.86646270752,5072.53502368927,28102.224578857422,13586.86646270752,5072.53502368927,53893.890801028254,0.0,0.0,251.8730572900772,8,2,1
2019-05-10,58008.473560421684,7132.2647357740425,0.0,0.0,0.0,28275.290073394775,13556.346590995789,5084.955110549927,28275.290073394775,13556.346590995789,5084.955110549927,54048.85651071453,0.0,0.0,251.8730572900772,8,2,1
2019-05-13,57153.42206626764,7132.2647357740425,0.0,0.0,0.0,27865.836994171143,13464.318542480469,4984.214844703675,27865.836994171143,13464.318542480469,4984.214844703675,53446.63511712933,0.0,0.0,251.8730572900772,8,2,1
2019-05-14,58173.51815437773,7132.2647357740425,0.0,0.0,0.0,28580.68803024292,13639.341229438782,5095.305018424988,28580.68803024292,13639.341229438782,5095.305018424988,54447.59901388073,0.0,0.0,251.8730572900772,8,2,1
2019-05-15,58648.89110758843,7132.2647357740425,0.0,0.0,0.0,28715.97183227539,13713.465646743774,5063.565015792847,28715.97183227539,13713.465646743774,5063.565015792847,54625.267230586054,0.0,0.0,251.8730572900772,8,2,1
2019-05-16,59352.57575666897,7132.2647357740425,0.0,0.0,0.0,29188.438259124756,13922.406804084778,5147.744836807252,29188.438259124756,13922.406804084778,5147.744836807252,55390.85463579083,0.0,0.0,251.8730572900772,8,2,1
2019-05-17,59328.48300267126,7132.2647357740425,0.0,0.0,0.0,29054.060050964355,13893.829556465149,5187.420086860657,29054.060050964355,13893.829556465149,5187.420086860657,55267.5744300642,0.0,0.0,251.8730572900772,8,2,1
2019-05-20,58225.48945097212,7132.2647357740425,0.0,0.0,0.0,28586.186485290527,13721.57033920288,5391.660089492798,28586.186485290527,13721.57033920288,5391.660089492798,54831.68164976025,0.0,0.0,251.8730572900772,8,2,1
2019-05-21,58839.67268874268,7132.2647357740425,0.0,0.0,0.0,28829.120845794678,13794.850019454956,5372.339844703675,28829.120845794678,13794.850019454956,5372.339844703675,55128.57544572735,0.0,0.0,251.8730572900772,8,2,1
2019-05-22,58997.14853622125,7132.2647357740425,0.0,0.0,0.0,28929.32578277588,13772.740656852722,5376.135063171387,28929.32578277588,13772.740656852722,5376.135063171387,55210.46623857403,0.0,0.0,251.8730572900772,8,2,1
2019-05-23,57991.90050759289,7132.2647357740425,0.0,0.0,0.0,28313.531490325928,13581.591403961182,5339.2199420928955,28313.531490325928,13581.591403961182,5339.2199420928955,54366.60757215405,0.0,0.0,251.8730572900772,8,2,1
2019-05-24,58112.21059561474,7132.2647357740425,0.0,0.0,0.0,28508.11247253418,13615.532928466797,5395.80011844635,28508.11247253418,13615.532928466797,5395.80011844635,54651.71025522137,0.0,0.0,251.8730572900772,8,2,1
2019-05-27,58461.02386851387,7132.2647357740425,0.0,0.0,0.0,28651.603492736816,13655.092628479004,5423.400092124939,28651.603492736816,13655.092628479004,5423.400092124939,54862.3609491148,0.0,0.0,251.8730572900772,8,2,1
2019-05-28,58358.06318917126,7132.2647357740425,0.0,0.0,0.0,28704.993633270264,13618.094449043274,5441.6849184036255,28704.993633270264,13618.094449043274,5441.6849184036255,54897.037736491206,0.0,0.0,251.8730572900772,8,2,1
2019-05-29,57345.03517155229,7132.2647357740425,0.0,0.0,0.0,28320.04714202881,13437.446086883545,5429.265160560608,28320.04714202881,13437.446086883545,5429.265160560608,54319.023125247004,0.0,0.0,251.8730572900772,8,2,1
2019-05-30,57886.05398567942,7132.2647357740425,0.0,0.0,0.0,28744.616096496582,13500.20575428009,5466.525092124939,28744.616096496582,13500.20575428009,5466.525092124939,54843.611678675654,0.0,0.0,251.8730572900772,8,2,1
2019-05-31,57347.67767985543,25.107444254877464,0.0,0.0,0.0,35645.69281291962,17116.68214035034,1816.9200439453123,35645.69281291962,17116.68214035034,1816.9200439453123,54604.40244147015,0.4153811273015959,67.79894934844971,319.6720066385269,9,3,1
2019-06-03,57675.89401543032,25.107444254877464,0.0,0.0,0.0,35849.12317657471,17093.30593776703,1783.4400329589844,35849.12317657471,17093.30593776703,1783.4400329589844,54750.9765915556,0.0,0.0,319.6720066385269,9,3,1
2019-06-04,57701.753177445935,25.107444254877464,0.0,0.0,0.0,35744.82502937317,17201.963700294495,1792.0799560546877,35744.82502937317,17201.963700294495,1792.0799560546877,54763.97612997723,0.0,0.0,319.6720066385269,9,3,1
2019-06-05,58367.49236512313,25.107444254877464,0.0,0.0,0.0,36300.561467170715,17263.368540763855,1806.1199340820312,36300.561467170715,17263.368540763855,1806.1199340820312,55395.15738627148,0.0,0.0,319.6720066385269,9,3,1
2019-06-06,58204.522235414166,25.107444254877464,0.0,0.0,0.0,36203.61177253723,17282.432180404663,1812.5999450683594,36203.61177253723,17282.432180404663,1812.5999450683594,55323.75134226513,0.0,0.0,319.6720066385269,9,3,1
2019-06-07,59087.372858148956,25.107444254877464,0.0,0.0,0.0,36834.454337120056,17462.238965034485,1848.9600219726562,36834.454337120056,17462.238965034485,1848.9600219726562,56170.760768382075,0.0,0.0,319.6720066385269,9,3,1
2019-06-10,59210.42439892251,25.107444254877464,0.0,0.0,0.0,37061.71367931366,17611.19687652588,1887.1199340820312,37061.71367931366,17611.19687652588,1887.1199340820312,56585.13793417645,0.0,0.0,319.6720066385269,9,3,1
2019-06-11,59676.29786200858,25.107444254877464,0.0,0.0,0.0,37185.45000553131,17625.44291782379,1877.0399780273438,37185.45000553131,17625.44291782379,1877.0399780273438,56713.040345637324,0.0,0.0,319.6720066385269,9,3,1
2019-06-12,59491.78010366802,25.107444254877464,0.0,0.0,0.0,36961.446736335754,17556.348410606384,1867.6800384521484,36961.446736335754,17556.348410606384,1867.6800384521484,56410.582629649165,0.0,0.0,319.6720066385269,9,3,1
2019-06-13,59468.0895427386,25.107444254877464,0.0,0.0,0.0,36958.03423309326,17717.473773002625,1878.1199340820312,36958.03423309326,17717.473773002625,1878.1199340820312,56578.735384432795,0.0,0.0,319.6720066385269,9,3,1
2019-06-14,59326.690333567494,25.107444254877464,0.0,0.0,0.0,36929.88683128357,17626.355445861816,1883.8800659179688,36929.88683128357,17626.355445861816,1883.8800659179688,56465.22978731823,0.0,0.0,319.6720066385269,9,3,1
2019-06-17,59622.05375073947,25.107444254877464,0.0,0.0,0.0,37273.23897457123,17637.758610725403,1894.3199615478516,37273.23897457123,17637.758610725403,1894.3199615478516,56830.42499109936,0.0,0.0,319.6720066385269,9,3,1
2019-06-18,61200.035923811636,25.107444254877464,0.0,0.0,0.0,38042.81459236145,17962.2517786026,1933.5599670410156,38042.81459236145,17962.2517786026,1933.5599670410156,57963.733782259944,0.0,0.0,319.6720066385269,9,3,1
2019-06-19,61104.607730033,25.107444254877464,0.0,0.0,0.0,37887.66055393219,17922.018867492676,1921.6800384521484,37887.66055393219,17922.018867492676,1921.6800384521484,57756.46690413189,0.0,0.0,319.6720066385269,9,3,1
2019-06-20,61360.25876240798,25.107444254877464,0.0,0.0,0.0,38183.74039077759,18015.20417022705,1931.759994506836,38183.74039077759,18015.20417022705,1931.759994506836,58155.81199976635,0.0,0.0,319.6720066385269,9,3,1
2019-06-21,61148.23804730531,25.107444254877464,0.0,0.0,0.0,37874.27816104889,18016.533232688904,1936.4400329589844,37874.27816104889,18016.533232688904,1936.4400329589844,57852.358870951655,0.0,0.0,319.6720066385269,9,3,1
2019-06-24,61186.87755059316,25.107444254877464,0.0,0.0,0.0,38138.36685466766,17900.616605758667,1920.240005493164,38138.36685466766,17900.616605758667,1920.240005493164,57984.33091017437,0.0,0.0,319.6720066385269,9,3,1
2019-06-25,61151.72629487848,25.107444254877464,0.0,0.0,0.0,37956.57741355896,17824.725832939148,1901.1600494384766,37956.57741355896,17824.725832939148,1901.1600494384766,57707.57074019146,0.0,0.0,319.6720066385269,9,3,1
2019-06-26,60899.597624873306,25.107444254877464,0.0,0.0,0.0,37838.271158218384,17804.11239528656,1897.2000274658203,37838.271158218384,17804.11239528656,1897.2000274658203,57564.69102522564,0.0,0.0,319.6720066385269,9,3,1
2019-06-27,61093.626457754224,25.107444254877464,0.0,0.0,0.0,37994.54620838165,17819.682463645935,1897.9200439453123,37994.54620838165,17819.682463645935,1897.9200439453123,57737.25616022778,0.0,0.0,319.6720066385269,9,3,1
2019-06-28,61702.303513499486,365.98686952686694,0.0,0.0,0.0,28141.85994720459,17899.381489753723,11614.449849128723,28141.85994720459,17899.381489753723,11614.449849128723,58021.6781556139,0.6538665243408698,90.56839825248719,410.2404048910141,8,3,2
2019-07-01,61896.06745863798,365.98686952686694,0.0,0.0,0.0,28247.9758644104,18155.958245277405,11815.974807739258,28247.9758644104,18155.958245277405,11815.974807739258,58585.89578695393,0.0,0.0,410.2404048910141,8,3,2
2019-07-02,62047.45055727752,365.98686952686694,0.0,0.0,0.0,28473.45962524414,18170.219645500183,11857.324967384338,28473.45962524414,18170.219645500183,11857.324967384338,58866.99110765553,0.0,0.0,410.2404048910141,8,3,2
2019-07-03,62545.03058929281,365.98686952686694,0.0,0.0,0.0,28648.22253036499,18308.392948150635,11940.80011844635,28648.22253036499,18308.392948150635,11940.80011844635,59263.40246648884,0.0,0.0,410.2404048910141,8,3,2
2019-07-04,62525.199784918295,365.98686952686694,0.0,0.0,0.0,28583.70458984375,18374.929989814755,12000.550284385681,28583.70458984375,18374.929989814755,12000.550284385681,59325.17173357106,0.0,0.0,410.2404048910141,8,3,2
2019-07-05,62062.09206647296,365.98686952686694,0.0,0.0,0.0,28226.40784072876,18321.00663948059,11904.250073432922,28226.40784072876,18321.00663948059,11904.250073432922,58817.65142316914,0.0,0.0,410.2404048910141,8,3,2
2019-07-08,62020.5381057228,365.98686952686694,0.0,0.0,0.0,28198.767234802246,18278.267961502075,11799.125156402588,28198.767234802246,18278.267961502075,11799.125156402588,58642.147222233776,0.0,0.0,410.2404048910141,8,3,2
2019-07-09,61873.707967075585,365.98686952686694,0.0,0.0,0.0,28102.356861114502,18240.64307975769,11822.22505569458,28102.356861114502,18240.64307975769,11822.22505569458,58531.21186609364,0.0,0.0,410.2404048910141,8,3,2
2019-07-10,61770.541822043364,365.98686952686694,0.0,0.0,0.0,28204.636848449707,18263.576884269714,11823.924903869629,28204.636848449707,18263.576884269714,11823.924903869629,58658.12550611592,0.0,0.0,410.2404048910141,8,3,2
2019-07-11,61720.17507471802,365.98686952686694,0.0,0.0,0.0,28219.560585021973,18279.08547592163,11854.274969100952,28219.560585021973,18279.08547592163,11854.274969100952,58718.90789957142,0.0,0.0,410.2404048910141,8,3,2
2019-07-12,61956.14389246528,365.98686952686694,0.0,0.0,0.0,28434.61538696289,18289.60175228119,11854.250044822693,28434.61538696289,18289.60175228119,11854.250044822693,58944.45405359364,0.0,0.0,410.2404048910141,8,3,2
2019-07-15,61862.336509213885,365.98686952686694,0.0,0.0,0.0,28429.734146118164,18335.214776992794,11894.899978637695,28429.734146118164,18335.214776992794,11894.899978637695,59025.835771275524,0.0,0.0,410.2404048910141,8,3,2
