ticker,sector,currently_held_core,current_core_weight_total,sector_current_count,sector_crowding_penalty,liquidity_penalty,mom12_ex1,ret_6m,ret_3m,rel_strength,vol60,dd_6m,ma200_flag,ma200_slope_flag,trend_bonus_value,persistence_bonus,core_score,rank_core,entry_candidate,retention_candidate,eligible_for_selection,construction_score,selected_core_final,selection_reason
AI.PA,Materials,False,0.0,0.0,0.0,0.0,-0.049753937212065225,-0.06554407913188542,0.01422793670400413,-0.13276718589140254,0.20094538182081087,-0.07866292544394149,False,False,-0.2,0.0,-0.48987958378425345,40,False,False,False,-0.48987958378425345,False,NOT_SELECTED
BN.PA,Consumer,False,0.0,0.0,0.0,0.0,0.007478843359953524,-0.0738758589705627,-0.09162514214980078,-0.12782094532775734,0.2920555763737916,-0.13065328800552767,False,False,-0.2,0.0,-0.557319789640562,41,False,False,False,-0.557319789640562,False,NOT_SELECTED
NK.PA,Materials,False,0.0,0.0,0.0,0.03,-0.09485603856755098,-0.011070099987999904,-0.10666664441426599,-0.1631549590496338,0.33137697110913983,-0.23264136992684692,False,False,-0.2,0.0,-0.6410864894405706,42,False,False,False,-0.6410864894405706,False,NOT_SELECTED
TFI.PA,Communication,False,0.0,1.0,0.04,0.03,0.01831491065145241,-0.19650899358901042,-0.13357613523438217,-0.1675830506844585,0.26894005027823403,-0.20011208880546738,False,False,-0.2,0.0,-0.7598050941393515,43,False,False,False,-0.7598050941393515,False,NOT_SELECTED
SAN.PA,Healthcare,False,0.0,0.0,0.0,0.0,-0.20804744611849157,-0.061408930179749355,-0.10811767578124998,-0.23514251815602574,0.23153232341700208,-0.1617647555050752,False,False,-0.2,0.0,-0.8315469146366246,44,False,False,False,-0.8315469146366246,False,NOT_SELECTED
RCO.PA,Consumer,False,0.0,0.0,0.0,0.03,-0.051991206764216646,-0.24235766739299625,0.02431112101709587,-0.18491326028319316,0.4152185376074927,-0.24910894714959775,False,False,-0.2,0.0,-0.8370117434789552,45,False,False,False,-0.8370117434789552,False,NOT_SELECTED
RMS.PA,Consumer,False,0.0,0.0,0.0,0.0,-0.171381592125317,-0.08904799549966269,-0.11850138145589306,-0.22717805189034107,0.2556884692122673,-0.1518025157979661,False,False,-0.2,0.0,-0.8502214576902443,46,False,False,False,-0.8502214576902443,False,NOT_SELECTED
EL.PA,Healthcare,False,0.0,0.0,0.0,0.0,-0.04006046420505749,-0.19884614210862384,-0.3116325219752275,-0.23308316001676654,0.2902264209637869,-0.3504833329495243,False,False,-0.2,0.0,-0.878621198759038,47,False,False,False,-0.878621198759038,False,NOT_SELECTED
PUB.PA,Communication,False,0.0,1.0,0.04,0.0,-0.11358622982611266,-0.10556210850822856,-0.12340523357698074,-0.2042153750675262,0.3528341271582713,-0.15496422441883873,False,False,-0.2,0.0,-0.9076212085106541,48,False,False,False,-0.9076212085106541,False,NOT_SELECTED
SGO.PA,Industrials,False,0.0,1.0,0.04,0.0,-0.09788095634326299,-0.20748593464537335,-0.15540691791012284,-0.2333402230338732,0.2943577239754181,-0.22639910773946115,False,False,-0.2,0.0,-0.9601267826721744,49,False,False,False,-0.9601267826721744,False,NOT_SELECTED
RI.PA,Consumer,False,0.0,0.0,0.0,0.0,-0.15164432702093555,-0.21051901053637923,-0.05905308373727214,-0.24186106430544113,0.33896776766032627,-0.19026709683909693,False,False,-0.2,0.0,-0.9803767189644144,50,False,False,False,-0.9803767189644144,False,NOT_SELECTED
SW.PA,Industrials,False,0.0,1.0,0.04,0.03,-0.3577378503068347,-0.08611277526220051,0.05324594170868613,-0.28512615027694543,0.19893715411181867,-0.14877467394414623,False,False,-0.2,0.0,-1.0008716947150125,51,False,False,False,-1.0008716947150125,False,NOT_SELECTED
AKE.PA,Materials,False,0.0,0.0,0.0,0.0,-0.25053268423066377,-0.1091219328111177,0.01851853366604228,-0.2453717961120639,0.4441211690009121,-0.20168063504541855,False,False,-0.2,0.0,-1.001526517463261,52,False,False,False,-1.001526517463261,False,NOT_SELECTED
CAP.PA,Technology,False,0.0,0.0,0.0,0.0,-0.20391658889537534,-0.13709034160721145,-0.2529411975900193,-0.2847462173344601,0.40970976595918185,-0.2891011352699383,False,False,-0.2,0.0,-1.1447629803965669,53,False,False,False,-1.1447629803965669,False,NOT_SELECTED
VIV.PA,Communication,False,0.0,1.0,0.04,0.03,-0.2099821649307443,-0.35421995927828986,-0.15903412879645862,-0.33413647689475595,0.2439359938696342,-0.3627760465898473,False,False,-0.2,0.0,-1.2486510606298677,54,False,False,False,-1.2486510606298677,False,NOT_SELECTED
RNO.PA,Consumer,False,0.0,0.0,0.0,0.0,-0.33068209112347413,-0.17833094547072026,-0.2456989545576248,-0.3590527010010832,0.2990498827651758,-0.24973266521055393,False,False,-0.2,0.0,-1.3340687278928205,55,False,False,False,-1.3340687278928205,False,NOT_SELECTED
EDEN.PA,Financials,False,0.0,2.0,0.08,0.0,-0.4252903348164586,-0.1776460252513855,-0.01056797165936818,-0.35912515020212377,0.3929063092709347,-0.2858504625538788,False,False,-0.2,0.0,-1.3900325326484377,56,False,False,False,-1.3900325326484377,False,NOT_SELECTED
TEP.PA,Industrials,False,0.0,1.0,0.04,0.0,-0.4311381259823488,-0.16599688362213005,-0.10216305400227765,-0.37687331976487404,0.47209890016749556,-0.20224719734798458,False,False,-0.2,0.0,-1.561281146452509,57,False,False,False,-1.561281146452509,False,NOT_SELECTED
DSY.PA,Technology,False,0.0,0.0,0.0,0.0,-0.4208789444509037,-0.3498023944318853,-0.23906649323536933,-0.4542660700886964,0.5532328883070273,-0.4022134443439206,False,False,-0.2,0.0,-1.8373376424293402,58,False,False,False,-1.8373376424293402,False,NOT_SELECTED
WLN.PA,Technology,False,0.0,0.0,0.0,0.03,-0.8117920455448031,-0.48171640911381686,0.030033403353135757,-0.6354768457225246,0.6443671008970132,-0.559746411800352,False,False,-0.2,0.0,-2.3956719826639836,59,False,False,False,-2.3956719826639836,False,NOT_SELECTED
